approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,20,Sheffield & Tinsley Canal Sloes,Foraging,fruits,hedgerow,53.405,-1.405,Sheffield & Tinsley Canal Sloes in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S9 1EB
TRUE,,21,Dearne Valley Foraging (Berries),Foraging,fruits,wetland,53.515,-1.355,Dearne Valley Foraging (Berries) in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Barnsley,Barnsley,Barnsley,West Riding (Historical),S73 0YJ
TRUE,,22,River Dearne Wild Garlic,Foraging,herbs,riverbank,53.545,-1.445,River Dearne Wild Garlic in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Spring,,,Barnsley,Barnsley,Barnsley,West Riding (Historical),S71 1HS
TRUE,,23,Stainforth & Keadby Canal Sloes,Foraging,fruits,hedgerow,53.595,-1.035,Stainforth & Keadby Canal Sloes in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Doncaster,Doncaster,Doncaster,West Riding (Historical),DN7 5AL
TRUE,,24,Potteric Carr Wild Greens,Foraging,vegetables,wetland,53.495,-1.105,Potteric Carr Wild Greens in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Doncaster,Doncaster,Doncaster,West Riding (Historical),DN4 8DB
TRUE,,25,Five Weirs Walk Foraging,Foraging,fruits,riverbank,53.385,-1.445,Five Weirs Walk Foraging in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S4 7YS
TRUE,,26,Worsbrough Mill (Wild Garlic),Foraging,herbs,riverbank,53.528,-1.488,Worsbrough Mill (Wild Garlic) in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Spring,,,Barnsley,Barnsley,Barnsley,West Riding (Historical),S70 5LJ
TRUE,,27,River Sheaf Path Elderberries,Foraging,fruits,riverbank,53.355,-1.475,River Sheaf Path Elderberries in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S7 1NY
TRUE,,28,Thrybergh Country Park Berries,Foraging,fruits,hedgerow,53.455,-1.285,Thrybergh Country Park Berries in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Rotherham,Rotherham,Rotherham,West Riding (Historical),S65 4NU
TRUE,,29,Treeton Dyke Foraging Path,Foraging,fruits,wetland,53.375,-1.365,Treeton Dyke Foraging Path in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Rotherham,Rotherham,Rotherham,West Riding (Historical),S60 5PU
TRUE,,30,River Rother Path Greens,Foraging,vegetables,riverbank,53.365,-1.355,River Rother Path Greens in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Beighton,Beighton,Beighton,West Riding (Historical),S20 1ED
TRUE,,31,Sprotbrough Falls Foraging,Foraging,fruits,riverbank,53.515,-1.185,Sprotbrough Falls Foraging in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Doncaster,Doncaster,Doncaster,West Riding (Historical),DN5 7RF
TRUE,,32,Ulley Country Park Elderflower,Foraging,flowers,wetland,53.395,-1.315,Ulley Country Park Elderflower in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Rotherham,Rotherham,Rotherham,West Riding (Historical),S66 9HT
TRUE,,33,Denaby Ings Marsh Greens,Foraging,vegetables,wetland,53.498,-1.275,Denaby Ings Marsh Greens in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Mexborough,Mexborough,Mexborough,West Riding (Historical),S64 0AL
TRUE,,34,Grenoside Woods (Sweet Chestnuts),Foraging,nuts,woodland,53.445,-1.515,Grenoside Woods (Sweet Chestnuts) in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S35 8RS
TRUE,,35,Ecclesall Woods (Hazelnuts),Foraging,nuts,woodland,53.335,-1.515,Ecclesall Woods (Hazelnuts) in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S7 2QZ
TRUE,,36,Wyming Brook Bilberries,Foraging,fruits,woodland,53.375,-1.595,Wyming Brook Bilberries in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S10 4QX
TRUE,,37,Wharncliffe Woods Chestnuts,Foraging,nuts,woodland,53.475,-1.545,Wharncliffe Woods Chestnuts in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Deepcar,Deepcar,Deepcar,West Riding (Historical),S36 2SQ
TRUE,,38,Rivelin Valley Foraging,Foraging,fruits,riverbank,53.392,-1.535,Rivelin Valley Foraging in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S6 5FE
TRUE,,39,Coombe-Bridge Woods Berries,Foraging,fruits,woodland,53.675,-1.745,Coombe-Bridge Woods Berries in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Huddersfield (Edge),Huddersfield (Edge),Huddersfield (Edge),West Riding (Historical),HD5 0RT
TRUE,,40,Woolley Woods Blueberries,Foraging,fruits,woodland,53.415,-1.415,Woolley Woods Blueberries in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S9 1YL
TRUE,,41,Wentworth Wood Paths Foraging,Foraging,fruits,hedgerow,53.475,-1.405,Wentworth Wood Paths Foraging in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Wentworth,Wentworth,Wentworth,West Riding (Historical),S62 7TQ
TRUE,,42,Beeley Wood Hazelnuts,Foraging,nuts,woodland,53.425,-1.515,Beeley Wood Hazelnuts in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S6 1QT
TRUE,,43,Brockadale Nature Reserve Nuts,Foraging,nuts,woodland,53.645,-1.245,Brockadale Nature Reserve Nuts in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Pontefract (Edge),Pontefract (Edge),Pontefract (Edge),West Riding (Historical),WF8 3JL
TRUE,,44,Hugset Wood Foraging,Foraging,fruits,woodland,53.555,-1.545,Hugset Wood Foraging in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Barnsley,Barnsley,Barnsley,West Riding (Historical),S75 4AW
TRUE,,45,Silkstone Fall Wood Nuts,Foraging,nuts,woodland,53.545,-1.565,Silkstone Fall Wood Nuts in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Silkstone,Silkstone,Silkstone,West Riding (Historical),S75 4ND
TRUE,,46,Endcliffe Park Edible Hedge,Foraging,fruits,parkland,53.365,-1.505,Endcliffe Park Edible Hedge in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S11 7AB
TRUE,,47,Graves Park Orchard Trees,Foraging,fruits,parkland,53.338,-1.455,Graves Park Orchard Trees in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S8 8LL
TRUE,,48,Whitley Woods Wild Plums,Foraging,fruits,woodland,53.625,-1.725,Whitley Woods Wild Plums in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Huddersfield (Edge),Huddersfield (Edge),Huddersfield (Edge),West Riding (Historical),HD8 0LY
TRUE,,49,Cannon Hall Park Foraging,Foraging,fruits,parkland,53.585,-1.585,Cannon Hall Park Foraging in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Cawthorne,Cawthorne,Cawthorne,West Riding (Historical),S75 4AT
TRUE,,50,Deffer Wood Sweet Chestnuts,Foraging,nuts,woodland,53.575,-1.615,Deffer Wood Sweet Chestnuts in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Cawthorne,Cawthorne,Cawthorne,West Riding (Historical),S75 4LU
