approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,13,Market Drayton Incredible Edible,Urban Foraging,vegetables,street-planters,52.905,-2.485,Community planters at the marketplace with free herbs and salads.,Community planters at the marketplace with free herbs and salads.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.905,-2.485",Market Drayton,Market Drayton,Market Drayton,Shropshire,TF9 1PZ
True,,14,Carding Mill Valley (National Trust) Edges,Nature Reserve,wild,mixed-forage,52.542,-2.815,"Valley paths with wild mint, elderberries, and bilberries (autumn).","Valley paths with wild mint, elderberries, and bilberries (autumn).",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.542,-2.815",Church Stretton,Church Stretton,Church Stretton,Shropshire,SY6 6JG
True,,15,Ellesmere Community Orchard,Community Orchard,fruits,tree-fruits,52.902,-2.888,Located near the Mere. Features heritage fruit trees for public use.,Located near the Mere. Features heritage fruit trees for public use.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.902,-2.888",Ellesmere,Ellesmere,Ellesmere,Shropshire,SY12 0PA
True,,16,Lydbury North Community Orchard,Community Orchard,fruits,tree-fruits,52.465,-2.955,Small village orchard project with heritage apple varieties.,Small village orchard project with heritage apple varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.465,-2.955",Lydbury North,Lydbury North,Lydbury North,Shropshire,SY7 8AU
True,,17,Mortimer Forest Foraging,Woodland,wild,woodland,52.348,-2.748,"Large forest offering sweet chestnuts, hazelnuts, and seasonal berries.","Large forest offering sweet chestnuts, hazelnuts, and seasonal berries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.348,-2.748",Ludlow,Ludlow,Ludlow,Shropshire,SY8 2JG
True,,18,Shropshire Union Canal Path,Public Footpath,wild,hedgerow,52.908,-2.478,Canal-side brambles offering heavy crops of blackberries in late summer.,Canal-side brambles offering heavy crops of blackberries in late summer.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.908,-2.478",Market Drayton,Market Drayton,Market Drayton,Shropshire,TF9 1AF
True,,19,Cleobury Mortimer Orchard,Community Orchard,fruits,tree-fruits,52.378,-2.482,Small orchard space near the village hall for community picking.,Small orchard space near the village hall for community picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.378,-2.482",Cleobury Mortimer,Cleobury Mortimer,Cleobury Mortimer,Shropshire,DY14 8BT
True,,20,Severn Valley Country Park Edges,Public Park,wild,mixed-forage,52.462,-2.365,Riverside and woodland trails with wild fruit and berries.,Riverside and woodland trails with wild fruit and berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.462,-2.365",Alveley,Alveley,Alveley,Shropshire,WV15 6NG
True,,21,Wem Community Orchard,Community Orchard,fruits,tree-fruits,52.855,-2.715,Small orchard space for local residents to harvest fruit.,Small orchard space for local residents to harvest fruit.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.855,-2.715",Wem,Wem,Wem,Shropshire,SY4 5AF
True,,22,Ironbridge Gorge Foraging,Woodland,wild,woodland,52.628,-2.485,Wooded slopes of the gorge with wild garlic and hazelnuts.,Wooded slopes of the gorge with wild garlic and hazelnuts.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.628,-2.485",Ironbridge,Ironbridge,Ironbridge,Shropshire,TF8 7RE
True,,23,Much Wenlock Incredible Edible,Urban Foraging,vegetables,street-planters,52.595,-2.558,Public planters in the town center with free edible plants.,Public planters in the town center with free edible plants.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.595,-2.558",Much Wenlock,Much Wenlock,Much Wenlock,Shropshire,TF13 6AS
True,,24,Wenlock Edge (National Trust) Edges,Nature Reserve,wild,mixed-forage,52.582,-2.575,Limestone ridge with wild herbs and autumn berries.,Limestone ridge with wild herbs and autumn berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.582,-2.575",Much Wenlock,Much Wenlock,Much Wenlock,Shropshire,TF13 6LU
True,,25,Broseley Community Orchard,Community Orchard,fruits,tree-fruits,52.612,-2.481,Small village orchard project for public benefit.,Small village orchard project for public benefit.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.612,-2.481",Broseley,Broseley,Broseley,Shropshire,TF12 5QJ
True,,26,River Severn Banks (Shrewsbury),Public Footpath,wild,river-forage,52.705,-2.748,Riverside paths with wild mint and elderberries.,Riverside paths with wild mint and elderberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.705,-2.748",Shrewsbury,Shrewsbury,Shrewsbury,Shropshire,SY1 1JB
True,,27,Bishop's Castle Incredible Edible,Urban Foraging,vegetables,street-planters,52.492,-2.998,Public planters near the town hall with free vegetables and herbs.,Public planters near the town hall with free vegetables and herbs.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.492,-2.998",Bishop's Castle,Bishop's Castle,Bishop's Castle,Shropshire,SY9 5AQ
True,,28,Stiperstones Foraging,Nature Reserve,wild,mixed-forage,52.598,-2.935,Heather moorland with wild bilberries and rowan berries.,Heather moorland with wild bilberries and rowan berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.598,-2.935",Minsterley,Minsterley,Minsterley,Shropshire,SY5 0PF
True,,29,Clun Community Orchard,Community Orchard,fruits,tree-fruits,52.422,-3.025,Small orchard in the quiet border town for public picking.,Small orchard in the quiet border town for public picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.422,-3.025",Clun,Clun,Clun,Shropshire,SY7 8JW
True,,30,Cound Riverside Edges,Public Path,wild,river-forage,52.635,-2.655,River Cound banks with wild garlic and blackberries.,River Cound banks with wild garlic and blackberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.635,-2.655",Cound,Cound,Cound,Shropshire,SY5 6AR
True,,31,Craven Arms Community Orchard,Community Orchard,fruits,tree-fruits,52.442,-2.835,Recently established village orchard for the community.,Recently established village orchard for the community.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.442,-2.835",Craven Arms,Craven Arms,Craven Arms,Shropshire,SY7 9PZ
True,,32,Condover Village Hedges,Public Path,wild,hedgerow,52.652,-2.715,Country lanes with abundant damson trees in the hedges.,Country lanes with abundant damson trees in the hedges.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.652,-2.715",Condover,Condover,Condover,Shropshire,SY5 7AA
True,,33,Minsterley Incredible Edible,Urban Foraging,vegetables,street-planters,52.635,-2.922,Planters with free herbs and salads near the local shops.,Planters with free herbs and salads near the local shops.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.635,-2.922",Minsterley,Minsterley,Minsterley,Shropshire,SY5 0BE
True,,34,Ercall Hill Edges,Nature Reserve,wild,mixed-forage,52.675,-2.535,Boundary paths with wild raspberries and blackberries.,Boundary paths with wild raspberries and blackberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.675,-2.535",Wellington,Wellington,Wellington,Shropshire,TF6 5AS
True,,35,Highley Community Orchard,Community Orchard,fruits,tree-fruits,52.445,-2.385,Small village orchard project for public harvesting.,Small village orchard project for public harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.445,-2.385",Highley,Highley,Highley,Shropshire,WV16 6LQ
True,,36,Albrighton Incredible Edible,Urban Foraging,vegetables,street-planters,52.632,-2.275,Public planters in the village center with herbs and veg.,Public planters in the village center with herbs and veg.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.632,-2.275",Albrighton,Albrighton,Albrighton,Shropshire,WV7 3BJ
True,,37,Brown Clee Hill Foraging,Nature Reserve,wild,mixed-forage,52.472,-2.595,High slopes with wild bilberries and seasonal berries.,High slopes with wild bilberries and seasonal berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.472,-2.595",Ditton Priors,Ditton Priors,Ditton Priors,Shropshire,WV16 6SQ
True,,38,Pontesbury Community Orchard,Community Orchard,fruits,tree-fruits,52.645,-2.892,Village project focused on local fruit varieties.,Village project focused on local fruit varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.645,-2.892",Pontesbury,Pontesbury,Pontesbury,Shropshire,SY5 0RR
True,,39,Shifnal Incredible Edible,Urban Foraging,vegetables,street-planters,52.665,-2.368,Planters at the community square with free edible plants.,Planters at the community square with free edible plants.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.665,-2.368",Shifnal,Shifnal,Shifnal,Shropshire,TF11 8BH
True,,40,Baschurch Village Edges,Public Path,wild,hedgerow,52.795,-2.855,Lanes near the village with wild apples and elderberries.,Lanes near the village with wild apples and elderberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.795,-2.855",Baschurch,Baschurch,Baschurch,Shropshire,SY4 2AU
True,,41,Westbury Community Orchard,Community Orchard,fruits,tree-fruits,52.668,-2.998,Managed project for public fruit harvesting.,Managed project for public fruit harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.668,-2.998",Westbury,Westbury,Westbury,Shropshire,SY5 9QX
True,,42,Titterstone Clee Hill Foraging,Nature Reserve,wild,mixed-forage,52.392,-2.555,High slopes with wild bilberries and blackberries.,High slopes with wild bilberries and blackberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.392,-2.555",Bitterley,Bitterley,Bitterley,Shropshire,SY8 3HP
True,,43,Atcham Riverside Path,Public Footpath,wild,river-forage,52.678,-2.672,River Severn banks with wild garlic and blackberries.,River Severn banks with wild garlic and blackberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.678,-2.672",Atcham,Atcham,Atcham,Shropshire,SY5 6QE
True,,44,Wistanstow Community Orchard,Community Orchard,fruits,tree-fruits,52.475,-2.845,Small village orchard project for community use.,Small village orchard project for community use.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.475,-2.845",Wistanstow,Wistanstow,Wistanstow,Shropshire,SY7 8DG
True,,45,Shawbury Incredible Edible,Urban Foraging,vegetables,street-planters,52.785,-2.655,Community planters with free herbs and salads.,Community planters with free herbs and salads.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.785,-2.655",Shawbury,Shawbury,Shawbury,Shropshire,SY4 4NZ
True,,46,Bomere Heath Village Path,Public Path,wild,hedgerow,52.771,-2.785,Boundary paths with sloes and blackberries.,Boundary paths with sloes and blackberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.771,-2.785",Bomere Heath,Bomere Heath,Bomere Heath,Shropshire,SY4 3PD
True,,47,Dorrington Community Orchard,Community Orchard,fruits,tree-fruits,52.615,-2.775,Village project focused on preserving local fruit heritage.,Village project focused on preserving local fruit heritage.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.615,-2.775",Dorrington,Dorrington,Dorrington,Shropshire,SY5 7LD
True,,48,Nesscliffe Hill Edges,Public Park,wild,mixed-forage,52.765,-2.915,Hillside paths with wild fruit and autumn berries.,Hillside paths with wild fruit and autumn berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.765,-2.915",Nesscliffe,Nesscliffe,Nesscliffe,Shropshire,SY4 1AU
True,,49,Kinnerley Community Orchard,Community Orchard,fruits,tree-fruits,52.775,-2.992,Small village orchard project for public picking.,Small village orchard project for public picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.775,-2.992",Kinnerley,Kinnerley,Kinnerley,Shropshire,SY10 8DE
True,,50,Buildwas Riverside Path,Public Footpath,wild,river-forage,52.635,-2.525,River Severn banks with wild garlic and elderberries.,River Severn banks with wild garlic and elderberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.635,-2.525",Buildwas,Buildwas,Buildwas,Shropshire,TF8 7BN
